"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento (Pessoas)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Sacramenta - Belém (PA)";"18 ou 19 anos";"392";"240";"152"
"Sacramenta - Belém (PA)";"20 a 24 anos";"2175";"1242";"933"
"Sacramenta - Belém (PA)";"25 a 29 anos";"2973";"1640";"1333"
"Sacramenta - Belém (PA)";"30 a 34 anos";"2938";"1596";"1342"
"Sacramenta - Belém (PA)";"35 a 39 anos";"2695";"1474";"1221"
"Sacramenta - Belém (PA)";"40 a 44 anos";"2474";"1328";"1146"
"Sacramenta - Belém (PA)";"45 a 49 anos";"2003";"1051";"952"
"Sacramenta - Belém (PA)";"50 a 54 anos";"1663";"909";"754"
"Sacramenta - Belém (PA)";"55 a 59 anos";"1287";"650";"637"
"Sacramenta - Belém (PA)";"60 a 69 anos";"1939";"896";"1043"
"Sacramenta - Belém (PA)";"70 anos ou mais";"1652";"598";"1054"
"São Brás - Belém (PA)";"Total";"12321";"5495";"6826"
"São Brás - Belém (PA)";"10 a 14 anos";"32";"16";"16"
"São Brás - Belém (PA)";"15 a 19 anos";"211";"109";"102"
"São Brás - Belém (PA)";"15 a 17 anos";"69";"30";"39"
"São Brás - Belém (PA)";"18 ou 19 anos";"142";"79";"63"
"São Brás - Belém (PA)";"20 a 24 anos";"924";"432";"492"
"São Brás - Belém (PA)";"25 a 29 anos";"1310";"621";"689"
"São Brás - Belém (PA)";"30 a 34 anos";"1272";"619";"653"
"São Brás - Belém (PA)";"35 a 39 anos";"1033";"472";"561"
"São Brás - Belém (PA)";"40 a 44 anos";"1118";"517";"601"
"São Brás - Belém (PA)";"45 a 49 anos";"1205";"564";"641"
"São Brás - Belém (PA)";"50 a 54 anos";"1170";"524";"646"
"São Brás - Belém (PA)";"55 a 59 anos";"994";"447";"547"
"São Brás - Belém (PA)";"60 a 69 anos";"1450";"622";"828"
"São Brás - Belém (PA)";"70 anos ou mais";"1602";"552";"1050"
"Souza - Belém (PA)";"Total";"7385";"3674";"3711"
"Souza - Belém (PA)";"10 a 14 anos";"27";"14";"13"
"Souza - Belém (PA)";"15 a 19 anos";"146";"67";"79"
"Souza - Belém (PA)";"15 a 17 anos";"35";"16";"19"
"Souza - Belém (PA)";"18 ou 19 anos";"111";"51";"60"
"Souza - Belém (PA)";"20 a 24 anos";"705";"362";"343"
"Souza - Belém (PA)";"25 a 29 anos";"978";"478";"500"
"Souza - Belém (PA)";"30 a 34 anos";"876";"464";"412"
"Souza - Belém (PA)";"35 a 39 anos";"878";"466";"412"
"Souza - Belém (PA)";"40 a 44 anos";"786";"430";"356"
"Souza - Belém (PA)";"45 a 49 anos";"797";"408";"389"
"Souza - Belém (PA)";"50 a 54 anos";"658";"315";"343"
"Souza - Belém (PA)";"55 a 59 anos";"440";"206";"234"
"Souza - Belém (PA)";"60 a 69 anos";"558";"256";"302"
"Souza - Belém (PA)";"70 anos ou mais";"536";"208";"328"
"Telégrafo - Belém (PA)";"Total";"21475";"11084";"10391"
"Telégrafo - Belém (PA)";"10 a 14 anos";"209";"99";"110"
"Telégrafo - Belém (PA)";"15 a 19 anos";"519";"281";"238"
"Telégrafo - Belém (PA)";"15 a 17 anos";"221";"109";"112"
"Telégrafo - Belém (PA)";"18 ou 19 anos";"298";"172";"126"
