"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal das pessoas de 10 anos ou mais de idade, com rendimento (Reais)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Campina - Belém (PA)";"50 a 54 anos";"3997,77";"4987,49";"2985,68"
"Campina - Belém (PA)";"55 a 59 anos";"3657,44";"4590,48";"2965,70"
"Campina - Belém (PA)";"60 a 69 anos";"3916,03";"4938,69";"3089,72"
"Campina - Belém (PA)";"70 anos ou mais";"3586,94";"4849,39";"2878,19"
"Umarizal - Belém (PA)";"Total";"3011,72";"3689,81";"2432,15"
"Umarizal - Belém (PA)";"10 a 14 anos";"739,89";"729,51";"755,46"
"Umarizal - Belém (PA)";"15 a 19 anos";"611,17";"667,11";"560,48"
"Umarizal - Belém (PA)";"15 a 17 anos";"463,69";"381,00";"516,47"
"Umarizal - Belém (PA)";"18 ou 19 anos";"666,03";"748,86";"580,76"
"Umarizal - Belém (PA)";"20 a 24 anos";"1067,04";"1240,01";"906,17"
