"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento - percentual do total geral"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Montese (Terra Firme) - Belém (PA)";"18 ou 19 anos";"2,13";"1,25";"0,88"
"Montese (Terra Firme) - Belém (PA)";"20 a 24 anos";"10,75";"6,20";"4,55"
"Montese (Terra Firme) - Belém (PA)";"25 a 29 anos";"14,56";"8,10";"6,46"
"Montese (Terra Firme) - Belém (PA)";"30 a 34 anos";"14,05";"7,70";"6,34"
"Montese (Terra Firme) - Belém (PA)";"35 a 39 anos";"12,17";"6,55";"5,61"
"Montese (Terra Firme) - Belém (PA)";"40 a 44 anos";"10,27";"5,58";"4,68"
"Montese (Terra Firme) - Belém (PA)";"45 a 49 anos";"8,39";"4,36";"4,03"
"Montese (Terra Firme) - Belém (PA)";"50 a 54 anos";"7,31";"4,04";"3,27"
"Montese (Terra Firme) - Belém (PA)";"55 a 59 anos";"5,32";"2,89";"2,43"
"Montese (Terra Firme) - Belém (PA)";"60 a 69 anos";"7,05";"3,39";"3,66"
"Montese (Terra Firme) - Belém (PA)";"70 anos ou mais";"4,94";"1,97";"2,97"
"Campina - Belém (PA)";"Total";"100,00";"45,68";"54,32"
"Campina - Belém (PA)";"10 a 14 anos";"0,33";"0,13";"0,20"
"Campina - Belém (PA)";"15 a 19 anos";"1,71";"0,66";"1,04"
"Campina - Belém (PA)";"15 a 17 anos";"0,31";"0,18";"0,13"
"Campina - Belém (PA)";"18 ou 19 anos";"1,40";"0,48";"0,92"
"Campina - Belém (PA)";"20 a 24 anos";"8,05";"3,95";"4,10"
"Campina - Belém (PA)";"25 a 29 anos";"11,69";"5,55";"6,14"
"Campina - Belém (PA)";"30 a 34 anos";"9,80";"4,28";"5,53"
"Campina - Belém (PA)";"35 a 39 anos";"9,75";"4,74";"5,02"
"Campina - Belém (PA)";"40 a 44 anos";"9,14";"4,43";"4,71"
"Campina - Belém (PA)";"45 a 49 anos";"9,85";"4,84";"5,02"
"Campina - Belém (PA)";"50 a 54 anos";"9,12";"4,61";"4,51"
"Campina - Belém (PA)";"55 a 59 anos";"7,72";"3,28";"4,43"
"Campina - Belém (PA)";"60 a 69 anos";"11,51";"5,14";"6,37"
"Campina - Belém (PA)";"70 anos ou mais";"11,33";"4,07";"7,26"
"Umarizal - Belém (PA)";"Total";"100,00";"46,08";"53,92"
"Umarizal - Belém (PA)";"10 a 14 anos";"0,36";"0,22";"0,14"
"Umarizal - Belém (PA)";"15 a 19 anos";"1,57";"0,75";"0,82"
"Umarizal - Belém (PA)";"15 a 17 anos";"0,43";"0,17";"0,26"
"Umarizal - Belém (PA)";"18 ou 19 anos";"1,15";"0,58";"0,56"
"Umarizal - Belém (PA)";"20 a 24 anos";"7,18";"3,46";"3,72"
"Umarizal - Belém (PA)";"25 a 29 anos";"10,68";"5,23";"5,45"
"Umarizal - Belém (PA)";"30 a 34 anos";"10,04";"4,92";"5,12"
"Umarizal - Belém (PA)";"35 a 39 anos";"9,38";"4,43";"4,95"
"Umarizal - Belém (PA)";"40 a 44 anos";"9,88";"4,73";"5,14"
"Umarizal - Belém (PA)";"45 a 49 anos";"10,23";"5,04";"5,18"
"Umarizal - Belém (PA)";"50 a 54 anos";"9,58";"4,41";"5,17"
"Umarizal - Belém (PA)";"55 a 59 anos";"7,72";"3,66";"4,05"
"Umarizal - Belém (PA)";"60 a 69 anos";"11,24";"4,98";"6,26"
"Umarizal - Belém (PA)";"70 anos ou mais";"12,16";"4,25";"7,91"
"Barreiro - Belém (PA)";"Total";"100,00";"55,68";"44,32"
"Barreiro - Belém (PA)";"10 a 14 anos";"1,24";"0,55";"0,69"
"Barreiro - Belém (PA)";"15 a 19 anos";"4,15";"2,49";"1,66"
"Barreiro - Belém (PA)";"15 a 17 anos";"1,69";"0,90";"0,78"
"Barreiro - Belém (PA)";"18 ou 19 anos";"2,46";"1,58";"0,88"
