Bairro,Grupo de idade,Total,Total.1,Total.2
Pratinha,30 a 34 anos,1393,805,588
Pratinha,35 a 39 anos,1353,759,594
Pratinha,40 a 44 anos,1141,657,484
Pratinha,45 a 49 anos,867,490,377
Pratinha,50 a 54 anos,579,348,231
Pratinha,55 a 59 anos,437,254,183
Pratinha,60 a 69 anos,561,292,269
Pratinha,70 anos ou mais,395,191,204
São Clemente,Total,3138,1944,1194
São Clemente,10 a 14 anos,30,13,17
São Clemente,15 a 19 anos,106,75,31
São Clemente,15 a 17 anos,38,29,9
São Clemente,18 ou 19 anos,68,46,22
São Clemente,20 a 24 anos,405,275,130
São Clemente,25 a 29 anos,478,301,177
São Clemente,30 a 34 anos,488,291,197
São Clemente,35 a 39 anos,508,294,214
São Clemente,40 a 44 anos,471,306,165
São Clemente,45 a 49 anos,222,145,77
São Clemente,50 a 54 anos,138,88,50
São Clemente,55 a 59 anos,98,58,40
São Clemente,60 a 69 anos,109,54,55
São Clemente,70 anos ou mais,85,44,41
Tapanã,Total,29915,16784,13131
Tapanã,10 a 14 anos,413,209,204
Tapanã,15 a 19 anos,1190,709,481
Tapanã,15 a 17 anos,489,277,212
Tapanã,18 ou 19 anos,701,432,269
Tapanã,20 a 24 anos,3185,1963,1222
Tapanã,25 a 29 anos,4092,2419,1673
Tapanã,30 a 34 anos,4327,2390,1937
Tapanã,35 a 39 anos,3935,2211,1724
Tapanã,40 a 44 anos,3335,1873,1462
Tapanã,45 a 49 anos,2669,1542,1127
Tapanã,50 a 54 anos,2150,1191,959
Tapanã,55 a 59 anos,1491,833,658
Tapanã,60 a 69 anos,1877,943,934
Tapanã,70 anos ou mais,1251,501,750
Una,Total,2936,1691,1245
Una,10 a 14 anos,25,14,11
Una,15 a 19 anos,85,45,40
Una,15 a 17 anos,30,19,11
Una,18 ou 19 anos,55,26,29
Una,20 a 24 anos,314,208,106
Una,25 a 29 anos,470,279,191
Una,30 a 34 anos,473,273,200
Una,35 a 39 anos,398,231,167
Una,40 a 44 anos,337,202,135
Una,45 a 49 anos,213,121,92
Una,50 a 54 anos,205,111,94
Una,55 a 59 anos,123,70,53
Una,60 a 69 anos,165,82,83
Una,70 anos ou mais,128,55,73
Águas Negras,Total,3318,1848,1470
Águas Negras,10 a 14 anos,48,17,31
Águas Negras,15 a 19 anos,123,71,52
Águas Negras,15 a 17 anos,50,23,27
Águas Negras,18 ou 19 anos,73,48,25
Águas Negras,20 a 24 anos,351,224,127
Águas Negras,25 a 29 anos,498,291,207
Águas Negras,30 a 34 anos,493,295,198
Águas Negras,35 a 39 anos,385,201,184
Águas Negras,40 a 44 anos,363,192,171
Águas Negras,45 a 49 anos,278,171,107
Águas Negras,50 a 54 anos,228,134,94
Águas Negras,55 a 59 anos,161,78,83
Águas Negras,60 a 69 anos,234,110,124
Águas Negras,70 anos ou mais,156,64,92
Agulha,Total,9298,5222,4076
Agulha,10 a 14 anos,116,57,59
Agulha,15 a 19 anos,361,207,154
Agulha,15 a 17 anos,139,80,59
Agulha,18 ou 19 anos,222,127,95
Agulha,20 a 24 anos,978,609,369
Agulha,25 a 29 anos,1230,742,488
Agulha,30 a 34 anos,1240,711,529
Agulha,35 a 39 anos,1108,620,488
Agulha,40 a 44 anos,996,572,424
Agulha,45 a 49 anos,822,453,369
Agulha,50 a 54 anos,726,395,331
Agulha,55 a 59 anos,562,307,255
Agulha,60 a 69 anos,666,337,329
Agulha,70 anos ou mais,493,212,281
Campina de Icoaraci,Total,12937,7064,5873
Campina de Icoaraci,10 a 14 anos,179,101,78
Campina de Icoaraci,15 a 19 anos,415,247,168
Campina de Icoaraci,15 a 17 anos,160,91,69
Campina de Icoaraci,18 ou 19 anos,255,156,99
Campina de Icoaraci,20 a 24 anos,1218,733,485
Campina de Icoaraci,25 a 29 anos,1698,980,718
Campina de Icoaraci,30 a 34 anos,1663,931,732
Campina de Icoaraci,35 a 39 anos,1529,858,671
Campina de Icoaraci,40 a 44 anos,1302,700,602
Campina de Icoaraci,45 a 49 anos,1073,587,486
Campina de Icoaraci,50 a 54 anos,994,575,419
Campina de Icoaraci,55 a 59 anos,827,446,381
Campina de Icoaraci,60 a 69 anos,1151,565,586
Campina de Icoaraci,70 anos ou mais,888,341,547
Cruzeiro,Total,5967,3227,2740
Cruzeiro,10 a 14 anos,68,35,33
Cruzeiro,15 a 19 anos,162,92,70
Cruzeiro,15 a 17 anos,58,33,25
Cruzeiro,18 ou 19 anos,104,59,45
Cruzeiro,20 a 24 anos,551,365,186
Cruzeiro,25 a 29 anos,768,439,329
